Paper,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,Author_16,Author_17,Author_18,Author_19,Author_20,Author_21,Author_22,Author_23,Author_24,Author_25,Author_26,Author_27,Author_28,Author_29,Author_30,Author_31,Author_32,Author_33,Author_34,Author_35,Author_36,Author_37,Bias
Horvath et al. (2022d),0.057007125890736345,0.0498812351543943,0.0498812351543943,0.023752969121140142,0.0023752969121140144,0.019002375296912115,0.004750593824228029,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.004750593824228029,,,,,,,,,,,,,,,,,,,,,,,0.2280285035629454
Horvath et al. (2022e),0.057007125890736345,0.014251781472684086,0.0498812351543943,0.0498812351543943,0.026128266033254157,0.0023752969121140144,0.0023752969121140144,0.023752969121140142,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,0.2375296912114014
Ito et al. (2018),0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.004750593824228029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011876484560570073
Jasinska et al. (2022),0.007125890736342043,0.0498812351543943,0.0498812351543943,0.026128266033254157,0.0023752969121140144,0.004750593824228029,0.0023752969121140144,0.0023752969121140144,0.007125890736342043,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.057007125890736345,,,,,,,,,,,,,,,,,,,,0.2280285035629454
Kerepesi et al. (2022),0.0023752969121140144,0.0023752969121140144,0.004750593824228029,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.014251781472684086,0.0023752969121140144,0.004750593824228029,0.057007125890736345,0.0023752969121140144,0.004750593824228029,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,0.11163895486935868
Kordowitzki et al. (2021),0.0023752969121140144,0.0498812351543943,0.0498812351543943,0.026128266033254157,0.023752969121140142,0.0023752969121140144,0.057007125890736345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21140142517814728
Larison et al. (2021b),0.004750593824228029,0.0023752969121140144,0.0498812351543943,0.0498812351543943,0.026128266033254157,0.004750593824228029,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.019002375296912115,0.004750593824228029,0.004750593824228029,0.057007125890736345,,,,,,,,,,,,,,,,,,,,,,,,0.2327790973871734
Lema\ître et al. (2022),0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0498812351543943,0.0498812351543943,0.026128266033254157,0.057007125890736345,,,,,,,,,,,,,,,,,,,,,,,,,0.20427553444180524
Little et al. (2020),0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014251781472684086
Lowe et al. (2020),0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.004750593824228029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02137767220902613
Mayne et al. (2021b),0.004750593824228029,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.004750593824228029,0.011876484560570071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030878859857482188
Mayne et al. (2022),0.004750593824228029,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.004750593824228029,0.011876484560570071,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04038004750593824
Meyer et al. (2023),0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,0.0332541567695962
Nilsen et al. (2016),0.0023752969121140144,0.004750593824228029,0.004750593824228029,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.004750593824228029,,,,,,,,,,,,,,,,,,,,,,,,,,0.03562945368171022
Parrott et al. (2014),0.004750593824228029,0.004750593824228029,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.004750593824228029,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030878859857482188
Polanowski et al. (2014),0.0023752969121140144,0.004750593824228029,0.0023752969121140144,0.011876484560570071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021377672209026127
Prado et al. (2021),0.0023752969121140144,0.0023752969121140144,0.0498812351543943,0.0498812351543943,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.023752969121140142,0.0023752969121140144,0.019002375296912115,0.057007125890736345,,,,,,,,,,,,,,,,,,,,,,,,,,0.2161520190023753
Qi et al. (2021),0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.004750593824228029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0166270783847981
Raj et al. (2021),0.023752969121140142,0.0023752969121140144,0.0498812351543943,0.0498812351543943,0.026128266033254157,0.004750593824228029,0.004750593824228029,0.019002375296912115,0.057007125890736345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23752969121140144
Robeck et al. (2021a),0.019002375296912115,0.011876484560570071,0.0498812351543943,0.0498812351543943,0.026128266033254157,0.007125890736342043,0.004750593824228029,0.004750593824228029,0.004750593824228029,0.004750593824228029,0.007125890736342043,0.004750593824228029,0.057007125890736345,,,,,,,,,,,,,,,,,,,,,,,,,0.2517814726840855
Robeck et al. (2021b),0.019002375296912115,0.011876484560570071,0.0498812351543943,0.0498812351543943,0.026128266033254157,0.007125890736342043,0.004750593824228029,0.004750593824228029,0.004750593824228029,0.004750593824228029,0.007125890736342043,0.004750593824228029,0.057007125890736345,,,,,,,,,,,,,,,,,,,,,,,,,0.2517814726840855
Robeck et al. (2023),0.019002375296912115,0.0498812351543943,0.011876484560570071,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.007125890736342043,0.007125890736342043,0.0023752969121140144,0.0498812351543943,0.057007125890736345,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21140142517814728
Schachtschneider et al. (2021),0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0498812351543943,0.0498812351543943,0.026128266033254157,0.007125890736342043,0.0023752969121140144,0.023752969121140142,0.057007125890736345,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22565320665083136
Soulsbury et al. (2018),0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014251781472684086
Sugrue et al. (2021),0.0023752969121140144,0.0498812351543943,0.0023752969121140144,0.014251781472684086,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0498812351543943,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.004750593824228029,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.057007125890736345,,,,,,,,,,,,,,,,,,,,0.20665083135391926
Thompson et al. (2017),0.004750593824228029,0.0023752969121140144,0.057007125890736345,0.004750593824228029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06888361045130642
Wilkinson et al. (2021),0.0023752969121140144,0.0023752969121140144,0.0498812351543943,0.014251781472684086,0.0498812351543943,0.004750593824228029,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.026128266033254157,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.007125890736342043,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.057007125890736345,0.2802850356294537
Wright et al. (2018),0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019002375296912115
Zoller et al. (2022),0.0498812351543943,0.0023752969121140144,0.014251781472684086,0.0498812351543943,0.0023752969121140144,0.057007125890736345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17577197149643706
